hi,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type","Asset Name",Category,Course
651,No,No,No,No,No,No,Yes,DMM00712,0,"Vinten Pro Touch Large tripod","Tripods & Mounts",
652,No,Yes,No,Yes,Yes,Yes,Yes,DMM01119,0,"Vinten PT 117 Tripod","Tripods & Mounts",
653,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01064,0,"Vinten Vision 5LF Tripod","Tripods & Mounts",FPBE
654,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00889,0,"Vinten Vision Blue Tripod","Tripods & Mounts",FPBE
655,No,No,No,No,No,No,Yes,DMM01090,0,Violin,"Musical Instruments",
656,No,No,No,No,No,No,Yes,DMM00195,0,"VRM box No1","Headphones and Headphone amps, Research equipment",
657,No,No,No,No,No,No,Yes,DMM00196,0,"VRM box No2","Headphones and Headphone amps, Research equipment",
658,No,No,No,No,No,No,Yes,"DMM00816, DMM00817",0,"Wacom graphics tablet ","Computer Interfaces & Peripherals",
659,No,No,No,No,No,No,Yes,DMM00180,0,"Wacom graphics tablet screen","Research equipment",
660,No,No,No,No,No,No,Yes,DMM01267,0,"WD Elements 1TB HD #1","Hard Drives",
661,No,No,No,No,No,No,Yes,DMM01276,0,"WD Elements 1TB HD #10","Hard Drives",
662,No,No,No,No,No,No,Yes,DMM01268,0,"WD Elements 1TB HD #2","Hard Drives",
663,No,No,No,No,No,No,Yes,DMM01269,0,"WD Elements 1TB HD #3","Hard Drives",
664,No,No,No,No,No,No,Yes,DMM01270,0,"WD Elements 1TB HD #4","Hard Drives",
665,No,No,No,No,No,No,Yes,DMM01271,0,"WD Elements 1TB HD #5","Hard Drives",
666,No,No,No,No,No,No,Yes,DMM01272,0,"WD Elements 1TB HD #6","Hard Drives",
667,No,No,No,No,No,No,Yes,DMM01273,0,"WD Elements 1TB HD #7","Hard Drives",
668,No,No,No,No,No,No,Yes,DMM01274,0,"WD Elements 1TB HD #8","Hard Drives",
669,No,No,No,No,No,No,Yes,DMM01275,0,"WD Elements 1TB HD #9","Hard Drives",
670,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00930,0,"Westcott Fast Flags",Stock,FPBE
671,No,No,No,No,No,No,Yes,DMM00177,0,"XL2 SPL meter","Research equipment",
672,No,No,No,No,No,No,Yes,DMM00191,0,"XSens head tracker","Research equipment",
673,No,No,No,No,No,No,Yes,DMM00117,0,"Yamaha 03D no. 1","Portable Consoles",
674,No,No,No,No,No,No,Yes,"DMM00433, DMM00434, DMM00435, DMM00436, DMM00437, DMM00438, DMM00439, DMM00440",0,"Yamaha MSR 100 Monitor No. 1","Performance equipment",
675,No,No,No,No,No,No,Yes,DMM00852,0,"Zhiyun Crane 2","Tripods & Mounts","FASS / DMA"
676,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01113,0,"Zhiyun Crane-M Gimbal Stabilizer",,
677,No,Yes,No,Yes,Yes,Yes,Yes,DMM00832,0,"Zoom F4","Portable Recorders",
678,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01104,0,"Zoom H1 Handy Recorder","Portable Recorders",
679,No,No,No,No,No,No,Yes,DMM01130,0,"Zoom H3-VR Handy Recorder","Portable Recorders",
680,No,No,No,No,No,No,Yes,DMM00968,0,"Zoom H4n Kit 1","Portable Recorders",
681,No,No,No,No,No,No,Yes,DMM00374,0,"Zoom H4n Kit 2","Portable Recorders",
